"Country_Region","Confirmed","Deaths"
"US",147,1
"US",1432,17
"US",661,2
"US",0,0
"US",38262,355
"US",260,3
"US",6440,63
"US",274,2
"US",433,4
"US",3649,46
"US",1562,13
"US",240,2
"US",1960,13
"US",10383,117
"US",568,7
"US",162,0
"US",56,0
"US",20597,219
"US",534,10
"US",2537,20
"US",53,0
"US",828,6
"US",203,2
"US",1347,9
"US",916,8
"US",871,14
"US",1416,21
"US",1147,18
"US",1024,15
"US",2067,15
"US",2217,16
"US",12612,116
"US",2154,6
"US",462,9
"US",342,5
"US",434,9
"US",5248,18
"US",2062,23
"US",3027,44
"US",250,2
"US",886,20
"US",2062,24
"US",546,4
"US",840,26
"US",723,2
"US",7946,113
"US",1,0
"US",482,3
"US",994,14
"US",6477,73
"US",341,7
"US",1554,15
"US",5070,61
"US",451,5
"US",2813,66
"US",381,1
"US",1333,31
"US",1586,19
"US",13832,84
"US",2600,49
"US",1212,24
"US",1198,32
"US",4485,75
"US",4294,70
"US",393652,7860
"US",1578,20
"US",937,14
"US",915,18
"US",6643,78
"US",1854,22
"US",61805,958
"US",1344,27
"US",397,5
"US",3860,52
"US",2664,46
"US",1227,37
"US",3362,48
"US",2342,28
"US",330,3
"US",1115,30
"US",3859,44
"US",601,10
"US",1316,20
"US",217,7
"US",397,4
"US",3692,39
"US",2323,49
"US",3650,51
"US",894,13
"US",2926,81
"US",1972,30
"US",1388,21
"US",982,9
"US",41511,564
"US",10678,152
"US",8449,68
"US",4059,104
"US",8363,186
"US",48300,763
"US",1985,20
"US",2707,30
"US",3140,51
"US",2705,39
"US",7959,163
"US",3273,60
"US",21054,341
"US",3548,97
"US",578,8
"US",1026,37
"US",893,26
"US",1978,35
"US",19128,204
"US",11621,97
"US",729,6
"US",1069,24
"US",3135,59
"US",2166,22
"US",3007,65
"US",1260,19
"US",4102,59
"US",19,0
"US",13172,193
"US",2185,44
"US",1046,7
"US",1395,38
"US",196,1
"US",560,3
"US",319,0
"US",3324,43
"US",1309,31
"US",11014,223
"US",1764,31
"US",13219,176
"US",543,3
"US",327,1
"US",1793,31
"US",19050,329
"US",449,19
"US",3242,46
"US",10431,172
"US",145,1488
"US",1697,29
"US",6429,75
"US",1048,11
"US",1496,34
"US",1225,18
"US",1336,40
"US",1122,20
"US",4828,124
"US",52293,724
"US",5316,98
"US",24019,344
"US",2786,47
"US",2645,40
"US",28274,507
"US",5522,111
"US",753,10
"US",895,24
"US",4541,71
"US",752,11
"US",1354,14
"US",4244,64
"US",8544,125
"US",1887,38
"US",3240,37
"US",602,11
"US",2299,73
"US",3014,68
"US",3877,48
"US",2135,77
